Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C23, C24, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36",0805,14,10u,C440198
"C10, C11, C15, C16, C18, C19, C20, C21, C6, C7, C9",0402,11,0u1,C307331
"C12, C13, C8",0402,3,1u,C52923
C14,0402,1,10n,C15195
"C17, C39, C40",0402,3,10u,C15525
C22,0603,1,4u7,C19666
"C25, C26",0603,2,47n,C1622
C27,0402,1,1n,C1523
C37,0603,1,10u,C19702
C38,0402,1,100p,C1546
"C4, C5",0603,2,20p,C1648
"D1, D10, D11, D2, D3, D4, D5, D8, D9",Diode_DFN1006,9,H5VU10U,C22395519
D12,0805,1,GREEN,C2297
D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
D7,0805,1,YELLOW,C2296
FB1,0805,1,600Ω@100M,C81034
"J2, J3",RJ25_Wayconn_MJEA-660X1_Horizontal,2,Conn_01x04,C189750
J4,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,Conn_Coaxial,C496551
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Solar_Cell,C158012
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,C158012
J8,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Battery_Cell,C431092
"JP1, JP2, JP3, JP4, JP5",PinHeader_1x02_P2.54mm_Vertical,5,Jumper_2_Small_Bridged,
L1,L_Changjiang_FXL0420,1,1u,C167203
L2,TDK_TFM201610ALC,1,0u47,C2045043
"Q1, Q2",SOIC-8_3.9x4.9mm_P1.27mm,2,AO4882,C3040598
"R1, R11, R12, R15, R3, R4, R6, R8",0402,8,10k,C25744
"R10, R16, R5, R9",0402,4,5k1,C25905
"R13, R20",0402,2,100k,C25741
R14,0402,1,52k3,C26982
R17,0603,1,3k,C4211
R18,0402,1,100,C25076
R19,0603,1,430k,C25969
R2,0603,1,560,C23204
R7,0603,1,470k,C23178
"SW1, SW2, SW3",SW_SPST_TS-1088-xR020,3,SW_Push,C720477
TP4,TestPoint_Pad_D2.0mm,1,TestPoint,
U1,SOT-89-3,1,HT7150-1,C347184
U2,LQFP-48_7x7mm_P0.5mm,1,STM32L431CCTx,C486681
U3,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,C97627
U4,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,GXHT30,C2913569
U5,Silicontra_SX1262ZTR8,1,SX1262TR8-GC,C42381682
U6,Texas_PWSON-N6,1,HTU21,C83479
U7,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,1,BQ25798,C2876593
U8,Texas_VSON-6_1.5x1.5mm_P0.5mm_DMQ0006A,1,TPS6282x,C2650334
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
