Designator,Mid X,Mid Y,Rotation,Layer
C1,21.75,19.2625,180.0,top
C10,31.25,17.0,90.0,top
C11,32.5,15.25,180.0,top
C12,42.970759,15.070013,270.0,top
C13,40.25,13.5,270.0,top
C14,39.25,13.5,270.0,top
C15,25.5,1.25,0.0,top
C16,31.75,1.25,180.0,top
C17,46.25,6.75,180.0,top
C18,46.25,7.75,0.0,top
C19,39.6,3.0,90.0,top
C2,24.5,18.5125,270.0,top
C20,47.75,31.25,270.0,top
C21,47.75,38.75,270.0,top
C22,33.0,35.75,90.0,top
C23,34.75,34.75,90.0,top
C24,36.75,34.75,90.0,top
C25,31.025,30.75,180.0,top
C26,28.025,30.75,0.0,top
C27,26.5,33.5,90.0,top
C28,25.0,31.0,270.0,top
C29,21.0,31.0,270.0,top
C3,28.95,16.25,180.0,top
C30,35.75,31.05,270.0,top
C31,25.0,34.5,90.0,top
C32,23.0,31.0,270.0,top
C33,37.75,31.05,270.0,top
C34,23.0,34.5,90.0,top
C35,19.0,31.0,270.0,top
C36,33.75,31.05,270.0,top
C37,18.75,24.5,180.0,top
C38,15.6,28.25,270.0,top
C39,16.75,24.75,90.0,top
C4,33.0,10.25,90.0,top
C40,15.75,24.75,90.0,top
C5,41.0,10.25,90.0,top
C6,42.75,22.75,270.0,top
C7,52.725,27.25,270.0,top
C8,16.5,12.75,270.0,top
C9,34.0,25.5,0.0,top
D1,31.0,19.425,270.0,top
D10,15.0,2.25,270.0,top
D11,50.25,32.07,270.0,top
D12,34.5,28.0,180.0,top
D2,31.0,23.5,90.0,top
D3,31.0,21.5,270.0,top
D4,26.0,20.5,270.0,top
D5,26.0,23.0,90.0,top
D6,20.5,11.5,0.0,top
D7,47.25,26.75,180.0,top
D8,14.5,23.45,90.0,top
D9,15.04,11.4,90.0,top
FB1,41.62376,14.240404,90.0,top
H1,56.0,35.0,0.0,top
H2,7.0,38.0,0.0,top
H3,4.0,7.0,0.0,top
H4,43.0,3.0,0.0,top
J1,28.5,21.25,270.0,top
J2,8.385,23.05,270.0,top
J3,8.385,7.55,270.0,top
J4,55.75,4.5,270.0,top
J5,56.0,35.07,90.0,top
J6,34.25,41.25,180.0,top
J7,22.25,41.25,180.0,top
J8,9.0,38.05,90.0,top
JP1,20.27,16.5125,90.0,top
JP2,48.23,2.75,270.0,top
JP3,44.505,43.25,270.0,top
JP4,18.795,35.55,90.0,top
JP5,23.005,27.25,270.0,top
L1,29.5,27.5,180.0,top
L2,18.0,22.75,180.0,top
Q1,43.275,31.0,270.0,top
Q2,43.275,38.5,270.0,top
R1,29.25,13.0,180.0,top
R10,50.25,37.24,270.0,top
R11,27.48,41.25,0.0,top
R12,27.47,40.25,0.0,top
R13,27.49,38.25,180.0,top
R14,27.49,39.25,180.0,top
R15,29.5,38.75,270.0,top
R16,34.5,26.5,0.0,top
R17,23.75,37.25,180.0,top
R18,26.0,37.26,270.0,top
R19,17.675,28.5,0.0,top
R2,37.25,13.25,180.0,top
R20,16.75,26.75,180.0,top
R3,27.0,13.0,180.0,top
R4,20.75,7.25,180.0,top
R5,44.51,26.75,0.0,top
R6,14.5,20.95,270.0,top
R7,15.0,5.25,270.0,top
R8,15.04,8.9,90.0,top
R9,49.76,34.25,0.0,top
SW1,20.75,3.75,90.0,top
SW2,51.75,42.75,180.0,top
SW3,56.25,27.25,180.0,top
TP1,18.35,20.2625,90.0,top
TP10,17.5,7.0,0.0,top
TP11,48.5,7.75,0.0,top
TP12,50.5,5.75,0.0,top
TP13,41.5,27.25,180.0,top
TP14,28.25,43.25,180.0,top
TP15,37.75,26.75,180.0,top
TP17,57.0,42.75,180.0,top
TP2,25.25,15.25,90.0,top
TP3,29.75,10.75,180.0,top
TP4,26.75,10.75,180.0,top
TP6,15.5,18.25,90.0,top
TP7,48.5,5.75,0.0,top
TP8,15.25,15.0,0.0,top
TP9,50.5,7.75,90.0,top
U1,22.75,23.2125,270.0,top
U2,37.0,19.75,0.0,top
U3,26.625,3.675,90.0,top
U4,32.0,3.5,270.0,top
U5,51.5,17.0,0.0,top
U6,37.1,3.5,0.0,top
U7,29.5,35.0,180.0,top
U8,18.5,26.375,270.0,top
Y1,37.0,10.25,180.0,top
